Discipline,Subfield,Methodology,Title,Abstract,URL,Source
Computer Science,Algorithms and Data Structures,Mixed Methods,Data Mining Algorithms for Smart Cities: A Bibliometric Analysis,"<jats:p>Smart cities connect people and places using innovative technologies such as Data Mining (DM), Machine Learning (ML), big data, and the Internet of Things (IoT). This paper presents a bibliometric analysis to provide a comprehensive overview of studies associated with DM technologies used in smart cities applications. The study aims to identify the main DM techniques used in the context of smart cities and how the research field of DM for smart cities evolves over time. We adopted both qualitative and quantitative methods to explore the topic. We used the Scopus database to find relative articles published in scientific journals. This study covers 197 articles published over the period from 2013 to 2021. For the bibliometric analysis, we used the Biliometrix library, developed in R. Our findings show that there is a wide range of DM technologies used in every layer of a smart city project. Several ML algorithms, supervised or unsupervised, are adopted for operating the instrumentation, middleware, and application layer. The bibliometric analysis shows that DM for smart cities is a fast-growing scientific field. Scientists from all over the world show a great interest in researching and collaborating on this interdisciplinary scientific field.</jats:p>",https://doi.org/10.3390/a14080242,CrossRef
Computer Science,Algorithms and Data Structures,Mixed Methods,Hunting for sharp thresholds,"<jats:title>Abstract</jats:title><jats:p>A basic phenomenon in random structures such as random graphs is the threshold phenomenon, where a system undergoes a swift qualitative change as result of a small change in a parameter guiding its probabilistic structure. In an earlier paper [J Amer Math Soc 12 (1999), 1017–1054] a general criterion was presented for structures to undergo such a phase transition. In this paper we give a survey of the state of the art in applying the aforementioned criterion, exemplify the techniques by proving the existence of a sharp threshold for hypergraph colorability, and present some related open problems. © 2004 Wiley Periodicals, Inc. Random Struct. Alg., 26, 2005</jats:p>",https://doi.org/10.1002/rsa.20042,CrossRef
Computer Science,Algorithms and Data Structures,Mixed Methods,Graph‐based data structures for skeleton‐based refinement algorithms,"<jats:title>Abstract</jats:title><jats:p>In this paper, we discuss a class of adaptive refinement algorithms for generating unstructured meshes in two and three dimensions. We focus on skeleton‐based refinement (SBR) algorithms as proposed by Plaza and Carey (<jats:italic>Appl. Numer. Math.</jats:italic> 2000; <jats:bold>32</jats:bold>:195) and provide an extension that involves the introduction of the graph of the skeleton for meshes consisting of simplex cells. By the use of data structures derived from the graph of the skeleton, we reformulate the SBR scheme and devise a more natural and consistent approach for this class of adaptive refinement algorithms. As an illustrative case, we discuss in detail the graphs for 2D refinement of triangulations and for 3D we propose a corresponding new face‐based data structure for tetrahedra. Experiments using the 2D algorithm and exploring the properties of the associated graph are provided. Copyright © 2001 John Wiley &amp; Sons, Ltd.</jats:p>",https://doi.org/10.1002/cnm.460,CrossRef
Computer Science,Algorithms and Data Structures,Mixed Methods,Percolation critical probabilities of matching lattice‐pairs,"<jats:title>Abstract</jats:title><jats:p>A necessary and sufficient condition is established for the strict inequality  between the critical probabilities of site percolation on a one‐ended, quasi‐transitive, plane graph  and on its matching graph . When  is transitive, strict inequality holds if and only if  is not a triangulation. The basic approach is the standard method of enhancements, but its implementation has complexity arising from the non‐Euclidean (hyperbolic) space, the study of site (rather than bond) percolation, and the generality of the assumption of quasi‐transitivity. This result is complementary to the work of the authors (“Hyperbolic site percolation,” <jats:styled-content>arXiv:2203.00981</jats:styled-content>) on the equality , where  is the critical probability for the existence of a unique infinite open cluster. It implies for transitive, one‐ended  that , with equality if and only if  is a triangulation.</jats:p>",https://doi.org/10.1002/rsa.21226,CrossRef
Computer Science,Algorithms and Data Structures,Mixed Methods,"Entropy, Triangulation, and Point Location in Planar Subdivisions","A data structure is presented for point location in connected planar
subdivisions when the distribution of queries is known in advance. The data
structure has an expected query time that is within a constant factor of
optimal. More specifically, an algorithm is presented that preprocesses a
connected planar subdivision G of size n and a query distribution D to produce
a point location data structure for G. The expected number of point-line
comparisons performed by this data structure, when the queries are distributed
according to D, is H + O(H^{2/3}+1) where H=H(G,D) is a lower bound on the
expected number of point-line comparisons performed by any linear decision tree
for point location in G under the query distribution D. The preprocessing
algorithm runs in O(n log n) time and produces a data structure of size O(n).
These results are obtained by creating a Steiner triangulation of G that has
near-minimum entropy.",http://arxiv.org/abs/0901.1908v1,arXiv
Computer Science,Algorithms and Data Structures,Design and Development,Note on distance matrix hashing,"Hashing algorithm of dynamical set of distances is described. Proposed
hashing function is residual. Data structure which implementation accelerates
computations is presented",http://arxiv.org/abs/1901.09505v2,arXiv
Computer Science,Algorithms and Data Structures,Design and Development,"Efficient algorithms for enumerating maximal common subsequences of two
  strings","We propose efficient algorithms for enumerating maximal common subsequences
(MCSs) of two strings. Efficiency of the algorithms are estimated by the
preprocessing-time, space, and delay-time complexities. One algorithm prepares
a cubic-space data structure in cubic time to output each MCS in linear time.
This data structure can be used to search for particular MCSs satisfying some
condition without performing an explicit enumeration. Another prepares a
quadratic-space data structure in quadratic time to output each MCS in linear
time, and the other prepares a linear-space data structure in quadratic time to
output each MCS in linearithmic time.",http://arxiv.org/abs/2307.10552v1,arXiv
Computer Science,Algorithms and Data Structures,Design and Development,3-Coloring in Time O(1.3217^n),"We propose a new algorithm for 3-coloring that runs in time O(1.3217^n). For
this algorithm, we make use of the time O(1.3289^n) algorithm for 3-coloring by
Beigel and Eppstein. They described a structure in all graphs, whose vertices
could be colored relatively easily. In this paper, we improve upon this
structure and present new ways to determine how the involved vertices reduce
the runtime of the algorithm.",http://arxiv.org/abs/2302.13644v1,arXiv
Computer Science,Algorithms and Data Structures,Design and Development,"A Note on the Performance of Algorithms for Solving Linear Diophantine
  Equations in the Naturals","We implement four algorithms for solving linear Diophantine equations in the
naturals: a lexicographic enumeration algorithm, a completion procedure, a
graph-based algorithm, and the Slopes algorithm. As already known, the
lexicographic enumeration algorithm and the completion procedure are slower
than the other two algorithms. We compare in more detail the graph-based
algorithm and the Slopes algorithm. In contrast to previous comparisons, our
work suggests that they are equally fast on small inputs, but the graph-based
algorithm gets much faster as the input grows. We conclude that implementations
of AC-unification algorithms should use the graph-based algorithm for maximum
efficiency.",http://arxiv.org/abs/2104.05200v1,arXiv
Computer Science,Algorithms and Data Structures,Design and Development,"Evolving Categories: Consistent Framework for Representation of Data and
  Algorithms","A concept of ""evolving categories"" is suggested to build a simple, scalable,
mathematically consistent framework for representing in uniform way both data
and algorithms. A state machine for executing algorithms becomes clear, rich
and powerful semantics, based on category theory, and still allows easy
implementation. Moreover, it gives an original insight into the nature and
semantics of algorithms.",http://arxiv.org/abs/cs/0412089v1,arXiv
Computer Science,Algorithms and Data Structures,Theoretical / Conceptual,Fast Clustering using MapReduce,"Clustering problems have numerous applications and are becoming more
challenging as the size of the data increases. In this paper, we consider
designing clustering algorithms that can be used in MapReduce, the most popular
programming environment for processing large datasets. We focus on the
practical and popular clustering problems, $k$-center and $k$-median. We
develop fast clustering algorithms with constant factor approximation
guarantees. From a theoretical perspective, we give the first analysis that
shows several clustering algorithms are in $\mathcal{MRC}^0$, a theoretical
MapReduce class introduced by Karloff et al. \cite{KarloffSV10}. Our algorithms
use sampling to decrease the data size and they run a time consuming clustering
algorithm such as local search or Lloyd's algorithm on the resulting data set.
Our algorithms have sufficient flexibility to be used in practice since they
run in a constant number of MapReduce rounds. We complement these results by
performing experiments using our algorithms. We compare the empirical
performance of our algorithms to several sequential and parallel algorithms for
the $k$-median problem. The experiments show that our algorithms' solutions are
similar to or better than the other algorithms' solutions. Furthermore, on data
sets that are sufficiently large, our algorithms are faster than the other
parallel algorithms that we tested.",http://arxiv.org/abs/1109.1579v1,arXiv
Computer Science,Algorithms and Data Structures,Theoretical / Conceptual,"Optimally selecting the top $k$ values from $X+Y$ with layer-ordered
  heaps","Selection and sorting the Cartesian sum, $X+Y$, are classic and important
problems. Here, a new algorithm is presented, which generates the top $k$
values of the form $X_i+Y_j$. The algorithm relies only on median-of-medians
and is simple to implement. Furthermore, it uses data structures contiguous in
memory, and is fast in practice. The presented algorithm is demonstrated to be
theoretically optimal.",http://arxiv.org/abs/2001.11607v2,arXiv
Computer Science,Algorithms and Data Structures,Theoretical / Conceptual,Theories of Hypergraph-Graph (HG(2)) Data Structure,"Current paper introduces a Hypergraph Graph model of data storage which can
be represented as a hybrid data structure based on Hypergraph and Graph. The
pro-posed data structure is claimed to realize complex combinatorial
structures. The formal definition of the data structure is presented along with
the proper justification from real world scenarios. The paper reports some
elementary concepts of Hypergraph and presents theoretical aspects of the
proposed data structure including the concepts of Path, Cycle etc. The detailed
analysis of weighted HG 2 is presented along with discussions on Cost involved
with HG 2 paths.",http://arxiv.org/abs/1311.7201v1,arXiv
Computer Science,Algorithms and Data Structures,Theoretical / Conceptual,Efficient Kernelization Algorithm for Bipartite Graph Matching,"Finding the maximum matching in bipartite graphs is a fundamental graph
operation widely used in various fields. To expedite the acquisition of the
maximum matching, Karp and Sipser introduced two data reduction rules aimed at
decreasing the input size. However, the KaSi algorithm, which implements the
two data reduction rules, has several drawbacks: a high upper bound on time
complexity and inefficient storage structure. The poor upper bound on time
complexity makes the algorithm lack robustness when dealing with extreme cases,
and the inefficient storage structure struggles to balance vertex merging and
neighborhood traversal operations, leading to poor performance on real-life
graphs. To address these issues, we introduced MVM, an algorithm incorporating
three novel optimization strategies to implement the data reduction rules. Our
theoretical analysis proves that the MVM algorithm, even when using data
structures with the worst search efficiency, can still maintain near-linear
time complexity, ensuring the algorithm's robustness. Additionally, we designed
an innovative storage format that supports efficient vertex merging operations
while preserving the locality of edge sets, thus ensuring the efficiency of
neighborhood traversals in graph algorithms. Finally, we conduct evaluations on
both real-life and synthetic graphs. Extensive experiments demonstrate the
superiority of our method.",http://arxiv.org/abs/2412.00704v1,arXiv
Computer Science,Algorithms and Data Structures,Theoretical / Conceptual,Nearest Neighbor based Clustering Algorithm for Large Data Sets,"Clustering is an unsupervised learning technique in which data or objects are
grouped into sets based on some similarity measure. Most of the clustering
algorithms assume that the main memory is infinite and can accommodate the set
of patterns. In reality many applications give rise to a large set of patterns
which does not fit in the main memory. When the data set is too large, much of
the data is stored in the secondary memory. Input/Outputs (I/O) from the disk
are the major bottleneck in designing efficient clustering algorithms for large
data sets. Different designing techniques have been used to design clustering
algorithms for large data sets. External memory algorithms are one class of
algorithms which can be used for large data sets. These algorithms exploit the
hierarchical memory structure of the computers by incorporating locality of
reference directly in the algorithm. This paper makes some contribution towards
designing clustering algorithms in the external memory model (Proposed by
Aggarwal and Vitter 1988) to make the algorithms scalable. In this paper, it is
shown that the Shared near neighbors algorithm is not very I/O efficient since
the computational complexity is same as the I/O complexity. The algorithm is
designed in the external memory model and I/O complexity is reduced. The
computational complexity remains same. We substantiate the theoretical analysis
by showing the performance of the algorithms with their traditional counterpart
by implementing in STXXL library.",http://arxiv.org/abs/1505.05962v1,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Quantitative,Creativity and Artificial Intelligence: A Digital Art Perspective,"This paper describes the application of artificial intelligence to the
creation of digital art. AI is a computational paradigm that codifies
intelligence into machines. There are generally three types of artificial
intelligence and these are machine learning, evolutionary programming and soft
computing. Machine learning is the statistical approach to building intelligent
systems. Evolutionary programming is the use of natural evolutionary systems to
design intelligent machines. Some of the evolutionary programming systems
include genetic algorithm which is inspired by the principles of evolution and
swarm optimization which is inspired by the swarming of birds, fish, ants etc.
Soft computing includes techniques such as agent based modelling and fuzzy
logic. Opportunities on the applications of these to digital art are explored.",http://arxiv.org/abs/1807.08195v1,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Quantitative,Comprehensible Artificial Intelligence on Knowledge Graphs: A survey,"Artificial Intelligence applications gradually move outside the safe walls of
research labs and invade our daily lives. This is also true for Machine
Learning methods on Knowledge Graphs, which has led to a steady increase in
their application since the beginning of the 21st century. However, in many
applications, users require an explanation of the Artificial Intelligences
decision. This led to increased demand for Comprehensible Artificial
Intelligence. Knowledge Graphs epitomize fertile soil for Comprehensible
Artificial Intelligence, due to their ability to display connected data, i.e.
knowledge, in a human- as well as machine-readable way. This survey gives a
short history to Comprehensible Artificial Intelligence on Knowledge Graphs.
Furthermore, we contribute by arguing that the concept Explainable Artificial
Intelligence is overloaded and overlapping with Interpretable Machine Learning.
By introducing the parent concept Comprehensible Artificial Intelligence, we
provide a clear-cut distinction of both concepts while accounting for their
similarities. Thus, we provide in this survey a case for Comprehensible
Artificial Intelligence on Knowledge Graphs consisting of Interpretable Machine
Learning on Knowledge Graphs and Explainable Artificial Intelligence on
Knowledge Graphs. This leads to the introduction of a novel taxonomy for
Comprehensible Artificial Intelligence on Knowledge Graphs. In addition, a
comprehensive overview of the research on Comprehensible Artificial
Intelligence on Knowledge Graphs is presented and put into the context of the
taxonomy. Finally, research gaps in the field of Comprehensible Artificial
Intelligence on Knowledge Graphs are identified for future research.",http://arxiv.org/abs/2404.03499v1,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Quantitative,"Surveying the reach and maturity of machine learning and artificial
  intelligence in astronomy","Machine learning (automated processes that learn by example in order to
classify, predict, discover or generate new data) and artificial intelligence
(methods by which a computer makes decisions or discoveries that would usually
require human intelligence) are now firmly established in astronomy. Every
week, new applications of machine learning and artificial intelligence are
added to a growing corpus of work. Random forests, support vector machines, and
neural networks (artificial, deep, and convolutional) are now having a genuine
impact for applications as diverse as discovering extrasolar planets, transient
objects, quasars, and gravitationally-lensed systems, forecasting solar
activity, and distinguishing between signals and instrumental effects in
gravitational wave astronomy. This review surveys contemporary, published
literature on machine learning and artificial intelligence in astronomy and
astrophysics. Applications span seven main categories of activity:
classification, regression, clustering, forecasting, generation, discovery, and
the development of new scientific insight. These categories form the basis of a
hierarchy of maturity, as the use of machine learning and artificial
intelligence emerges, progresses or becomes established.",http://arxiv.org/abs/1912.02934v1,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Quantitative,"Design of a dynamic and self adapting system, supported with artificial
  intelligence, machine learning and real time intelligence for predictive
  cyber risk analytics in extreme environments, cyber risk in the colonisation
  of Mars","Multiple governmental agencies and private organisations have made
commitments for the colonisation of Mars. Such colonisation requires complex
systems and infrastructure that could be very costly to repair or replace in
cases of cyber attacks. This paper surveys deep learning algorithms, IoT cyber
security and risk models, and established mathematical formulas to identify the
best approach for developing a dynamic and self adapting system for predictive
cyber risk analytics supported with Artificial Intelligence and Machine
Learning and real time intelligence in edge computing. The paper presents a new
mathematical approach for integrating concepts for cognition engine design,
edge computing and Artificial Intelligence and Machine Learning to automate
anomaly detection. This engine instigates a step change by applying Artificial
Intelligence and Machine Learning embedded at the edge of IoT networks, to
deliver safe and functional real time intelligence for predictive cyber risk
analytics. This will enhance capacities for risk analytics and assists in the
creation of a comprehensive and systematic understanding of the opportunities
and threats that arise when edge computing nodes are deployed, and when
Artificial Intelligence and Machine Learning technologies are migrated to the
periphery of the internet and into local IoT networks.",http://arxiv.org/abs/2005.12150v2,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Quantitative,Physics Enhanced Artificial Intelligence,"We propose that intelligently combining models from the domains of Artificial
Intelligence or Machine Learning with Physical and Expert models will yield a
more ""trustworthy"" model than any one model from a single domain, given a
complex and narrow enough problem. Based on mean-variance portfolio theory and
bias-variance trade-off analysis, we prove combining models from various
domains produces a model that has lower risk, increasing user trust. We call
such combined models - physics enhanced artificial intelligence (PEAI), and
suggest use cases for PEAI.",http://arxiv.org/abs/1903.04442v1,arXiv
Computer Science,Artificial Intelligence and Machine Learning,Qualitative,"B-SMART: A Reference Architecture for Artificially Intelligent Autonomic
  Smart Buildings","The pervasive application of artificial intelligence and machine learning
algorithms is transforming many industries and aspects of the human experience.
One very important industry trend is the move to convert existing human
dwellings to smart buildings, and to create new smart buildings. Smart
buildings aim to mitigate climate change by reducing energy consumption and
associated carbon emissions. To accomplish this, they leverage artificial
intelligence, big data, and machine learning algorithms to learn and optimize
system performance. These fields of research are currently very rapidly
evolving and advancing, but there has been very little guidance to help
engineers and architects working on smart buildings apply artificial
intelligence algorithms and technologies in a systematic and effective manner.
In this paper we present B-SMART: the first reference architecture for
autonomic smart buildings. B-SMART facilitates the application of artificial
intelligence techniques and technologies to smart buildings by decoupling
conceptually distinct layers of functionality and organizing them into an
autonomic control loop. We also present a case study illustrating how B-SMART
can be applied to accelerate the introduction of artificial intelligence into
an existing smart building.",http://arxiv.org/abs/2211.03219v1,arXiv
